Data,Mandante,,Visitante,Vitória doMandante,Empate,Vitória doVisitante
03/09/2023,Vila Nova GO,0x1,CRB,51.7 %,31.1 %,17.3 %
03/09/2023,Botafogo SP,1x1,Sport,20.5 %,26.9 %,52.6 %
05/09/2023,Chapecoense,0x1,Guarani,32.0 %,30.6 %,37.5 %
06/09/2023,Ceará,3x1,Londrina,72.0 %,20.0 %,8.1 %
07/09/2023,Tombense,3x0,ABC,46.3 %,26.4 %,27.3 %
08/09/2023,Ituano,1x2,Vila Nova GO,40.9 %,36.5 %,22.6 %
09/09/2023,Ponte Preta,0x0,Sampaio Corrêa,50.0 %,36.4 %,13.5 %
09/09/2023,Mirassol,1x0,Botafogo SP,60.2 %,28.8 %,11.0 %
09/09/2023,Sport,3x3,Criciúma,57.0 %,26.4 %,16.6 %
10/09/2023,Atlético GO,3x0,Juventude,50.2 %,25.5 %,24.3 %
10/09/2023,CRB,6x0,Vitória,45.0 %,28.2 %,26.8 %
11/09/2023,Avaí,1x0,Grêmio Novorizontino,28.3 %,28.5 %,43.2 %
14/09/2023,Londrina,2x2,Ituano,27.9 %,28.9 %,43.2 %
15/09/2023,Vila Nova GO,1x1,Ponte Preta,58.7 %,40.7 %,0.6 %
15/09/2023,ABC,0x1,Sport,23.5 %,26.3 %,50.2 %
16/09/2023,Criciúma,2x1,Mirassol,53.7 %,30.5 %,15.7 %
16/09/2023,Botafogo SP,1x0,Atlético GO,28.6 %,27.4 %,44.0 %
16/09/2023,Sampaio Corrêa,2x0,Chapecoense,42.6 %,32.2 %,25.2 %
16/09/2023,Juventude,3x1,CRB,38.4 %,29.0 %,32.6 %
17/09/2023,Guarani,3x0,Tombense,64.0 %,22.0 %,14.0 %
17/09/2023,Vitória,3x0,Avaí,51.5 %,26.1 %,22.3 %
18/09/2023,Grêmio Novorizontino,4x1,Ceará,50.7 %,27.7 %,21.6 %
19/09/2023,Sampaio Corrêa,2x1,Vila Nova GO,31.1 %,38.2 %,30.7 %
22/09/2023,Ponte Preta,0x3,Mirassol,39.3 %,39.6 %,21.1 %
22/09/2023,Ituano,0x2,Vitória,45.9 %,27.6 %,26.5 %
22/09/2023,Atlético GO,3x1,Criciúma,46.7 %,26.4 %,26.9 %
23/09/2023,Sport,4x0,Londrina,79.0 %,15.4 %,5.7 %
23/09/2023,CRB,1x0,Guarani,41.4 %,28.5 %,30.1 %
23/09/2023,Chapecoense,1x1,Ceará,35.5 %,28.6 %,35.9 %
23/09/2023,Tombense,0x0,Botafogo SP,49.2 %,27.2 %,23.6 %
25/09/2023,Avaí,0x2,Juventude,37.7 %,29.4 %,32.9 %
25/09/2023,Grêmio Novorizontino,2x1,ABC,73.1 %,21.7 %,5.2 %
28/09/2023,Mirassol,1x0,CRB,43.0 %,28.3 %,28.7 %
28/09/2023,Londrina,1x0,Sampaio Corrêa,30.9 %,29.3 %,39.8 %
29/09/2023,Avaí,2x2,Sport,23.9 %,24.7 %,51.4 %
29/09/2023,Vitória,1x0,Tombense,59.1 %,22.4 %,18.5 %
30/09/2023,Guarani,2x1,Grêmio Novorizontino,44.3 %,29.9 %,25.7 %
30/09/2023,Ituano,1x1,Botafogo SP,54.2 %,31.7 %,14.1 %
30/09/2023,Juventude,1x0,Criciúma,44.8 %,30.7 %,24.5 %
30/09/2023,ABC,2x0,Ponte Preta,41.0 %,38.4 %,20.6 %
01/10/2023,Vila Nova GO,0x0,Chapecoense,58.3 %,30.6 %,11.1 %
01/10/2023,Ceará,0x1,Atlético GO,45.7 %,24.1 %,30.3 %
03/10/2023,Mirassol,2x0,Londrina,72.3 %,20.6 %,7.1 %
05/10/2023,Chapecoense,0x0,ABC,49.8 %,30.9 %,19.3 %
06/10/2023,Atlético GO,1x0,Ituano,59.7 %,22.9 %,17.4 %
06/10/2023,CRB,2x0,Ceará,50.0 %,25.7 %,24.3 %
07/10/2023,Guarani,1x1,Vila Nova GO,56.1 %,32.0 %,11.9 %
07/10/2023,Botafogo SP,0x1,Avaí,45.9 %,31.5 %,22.5 %
07/10/2023,Sampaio Corrêa,1x1,Grêmio Novorizontino,26.4 %,29.8 %,43.8 %
07/10/2023,Tombense,1x1,Juventude,34.1 %,27.6 %,38.3 %
08/10/2023,Criciúma,1x0,Vitória,47.6 %,28.5 %,23.9 %
09/10/2023,Sport,3x3,Ponte Preta,74.3 %,20.2 %,5.4 %
10/10/2023,ABC,1x2,Mirassol,31.4 %,33.2 %,35.3 %
11/10/2023,Vila Nova GO,1x0,Botafogo SP,63.5 %,34.0 %,2.5 %
13/10/2023,Criciúma,1x2,Chapecoense,58.9 %,29.3 %,11.8 %
14/10/2023,Ituano,0x0,CRB,34.3 %,28.8 %,36.8 %
14/10/2023,Grêmio Novorizontino,0x0,Tombense,68.5 %,20.0 %,11.5 %
14/10/2023,Ceará,0x0,Sampaio Corrêa,56.7 %,27.0 %,16.3 %
15/10/2023,Ponte Preta,0x2,Atlético GO,30.3 %,29.0 %,40.7 %
15/10/2023,Vitória,2x0,Guarani,38.1 %,29.7 %,32.2 %
15/10/2023,Londrina,1x1,Avaí,33.8 %,27.2 %,39.0 %
16/10/2023,Juventude,2x2,Sport,37.4 %,26.3 %,36.3 %
19/10/2023,Atlético GO,3x1,ABC,66.3 %,21.8 %,11.8 %
19/10/2023,Tombense,2x1,Vila Nova GO,33.7 %,31.4 %,34.9 %
20/10/2023,Mirassol,0x0,Guarani,42.1 %,31.0 %,26.8 %
20/10/2023,Sampaio Corrêa,0x1,Vitória,34.0 %,31.9 %,34.1 %
21/10/2023,Botafogo SP,2x0,Grêmio Novorizontino,21.6 %,34.1 %,44.3 %
21/10/2023,Juventude,2x2,Londrina,73.2 %,19.8 %,6.9 %
21/10/2023,CRB,0x1,Criciúma,51.9 %,27.9 %,20.3 %
22/10/2023,Sport,2x1,Chapecoense,66.2 %,21.0 %,12.8 %
22/10/2023,Avaí,1x0,Ceará,38.1 %,27.9 %,34.0 %
23/10/2023,Ponte Preta,0x0,Ituano,38.7 %,35.2 %,26.1 %
26/10/2023,ABC,1x1,Avaí,42.4 %,29.7 %,27.8 %
27/10/2023,Guarani,0x1,Botafogo SP,66.7 %,28.5 %,4.8 %
27/10/2023,Grêmio Novorizontino,2x0,Ponte Preta,66.3 %,26.6 %,7.1 %
