Data,Casa,Resultado,Fora
"Qua, 26/04/2023 19:00
                    - GRUPO 63 |  Jogo: 79 
                      - 
              1 alteração",Sport - PE,2 x 0,Coritiba - PR
"Qua, 12/04/2023 19:30
                - GRUPO 75 |  Jogo: 75",Crb - AL,1 x 0,Athletico Paranaense - PR
"Ter, 25/04/2023 21:30
                    - GRUPO 75 |  Jogo: 91",Athletico Paranaense - PR,(4)2 x 1(2),Crb - AL
"Qua, 12/04/2023 19:30
                - GRUPO 71 |  Jogo: 71",Fluminense - RJ,3 x 0,Paysandu - PA
"Ter, 25/04/2023 20:00
                    - GRUPO 71 |  Jogo: 87",Paysandu - PA,0 x 3,Fluminense - RJ
"Qua, 12/04/2023 20:00
                - GRUPO 76 |  Jogo: 76",Palmeiras - SP,4 x 2,Tombense - MG
"Qua, 26/04/2023 20:00
                    - GRUPO 76 |  Jogo: 92 
                      - 
              1 alteração",Tombense - MG,1 x 1,Palmeiras - SP
"Qua, 12/04/2023 21:30
                - GRUPO 72 |  Jogo: 72",Remo - PA,2 x 0,Corinthians - SP
"Qua, 26/04/2023 21:30
                    - GRUPO 72 |  Jogo: 88",Corinthians - SP,(5)2 x 0(4),Remo - PA
"Qua, 12/04/2023 21:30
                - GRUPO 67 |  Jogo: 67",Ypiranga - RS,0 x 2,Botafogo - RJ
"Qui, 27/04/2023 19:30
                    - GRUPO 67 |  Jogo: 83",Botafogo - RJ,2 x 0,Ypiranga - RS
"Qua, 12/04/2023 21:30
                - GRUPO 65 |  Jogo: 65",Atlético Mineiro - MG,2 x 1,Brasil - RS
"Qua, 26/04/2023 19:30
                    - GRUPO 65 |  Jogo: 81",Brasil - RS,1 x 1,Atlético Mineiro - MG
"Qui, 13/04/2023 19:00
                - GRUPO 64 |  Jogo: 64",Náutico - PE,1 x 0,Cruzeiro Saf - MG
"Ter, 25/04/2023 19:00
                    - GRUPO 64 |  Jogo: 80",Cruzeiro Saf - MG,2 x 0,Náutico - PE
"Qui, 13/04/2023 20:00
                - GRUPO 69 |  Jogo: 69",Maringá Futebol Clube S.a.f. - PR,2 x 0,Flamengo - RJ
"Qua, 26/04/2023 21:30
                    - GRUPO 69 |  Jogo: 85",Flamengo - RJ,8 x 2,Maringá Futebol Clube S.a.f. - PR
"Qui, 13/04/2023 21:30
                - GRUPO 68 |  Jogo: 68",Abc - RN,0 x 2,Grêmio - RS
"Qui, 27/04/2023 21:30
                    - GRUPO 68 |  Jogo: 84",Grêmio - RS,1 x 1,Abc - RN
"Ter, 16/05/2023 21:00
                - GRUPO 80 |  Jogo: 96",Fluminense - RJ,0 x 0,Flamengo - RJ
"Qui, 01/06/2023 20:00
                    - GRUPO 80 |  Jogo: 104",Flamengo - RJ,2 x 0,Fluminense - RJ
"Qua, 17/05/2023 19:00
                - GRUPO 81 |  Jogo: 97",Santos - SP,0 x 0,Bahia - BA
"Qua, 31/05/2023 19:00
                    - GRUPO 81 |  Jogo: 105",Bahia - BA,(4)1 x 1(3),Santos - SP
"Qua, 17/05/2023 19:00
                - GRUPO 82 |  Jogo: 98",Palmeiras - SP,3 x 0,Fortaleza - CE
"Qua, 31/05/2023 19:00
                    - GRUPO 82 |  Jogo: 106",Fortaleza - CE,1 x 0,Palmeiras - SP
"Qua, 17/05/2023 19:30
                - GRUPO 84 |  Jogo: 100",Grêmio - RS,1 x 1,Cruzeiro Saf - MG
"Qua, 31/05/2023 20:00
                    - GRUPO 84 |  Jogo: 108",Cruzeiro Saf - MG,0 x 1,Grêmio - RS
"Qua, 17/05/2023 20:00
                - GRUPO 78 |  Jogo: 94",Sport - PE,0 x 2,São Paulo - SP
"Qui, 01/06/2023 19:30
                    - GRUPO 78 |  Jogo: 102",São Paulo - SP,(5)1 x 3(3),Sport - PE
"Qua, 17/05/2023 21:30
                - GRUPO 77 |  Jogo: 93",America Fc S.a.f. - MG,2 x 0,Internacional - RS
"Qua, 31/05/2023 21:30
                    - GRUPO 77 |  Jogo: 101",Internacional - RS,(4)3 x 1(5),America Fc S.a.f. - MG
"Qua, 17/05/2023 21:30
                - GRUPO 79 |  Jogo: 95",Athletico Paranaense - PR,3 x 2,Botafogo - RJ
"Qua, 31/05/2023 21:30
                    - GRUPO 79 |  Jogo: 103",Botafogo - RJ,(2)1 x 0(4),Athletico Paranaense - PR
"Qua, 17/05/2023 21:30
                - GRUPO 83 |  Jogo: 99",Atlético Mineiro - MG,2 x 0,Corinthians - SP
"Qua, 31/05/2023 21:30
                    - GRUPO 83 |  Jogo: 107",Corinthians - SP,(3)2 x 0(1),Atlético Mineiro - MG
"Ter, 04/07/2023 21:00
                - GRUPO 87 |  Jogo: 111",Bahia - BA,1 x 1,Grêmio - RS
"Qua, 12/07/2023 19:00
                    - GRUPO 87 |  Jogo: 115",Grêmio - RS,(4)1 x 1(3),Bahia - BA
"Qua, 05/07/2023 19:30
                - GRUPO 86 |  Jogo: 110",São Paulo - SP,1 x 0,Palmeiras - SP
"Qui, 13/07/2023 20:00
                    - GRUPO 86 |  Jogo: 114",Palmeiras - SP,1 x 2,São Paulo - SP
"Qua, 05/07/2023 21:30
                - GRUPO 85 |  Jogo: 109",America Fc S.a.f. - MG,1 x 0,Corinthians - SP
"Sáb, 15/07/2023 16:30
                    - GRUPO 85 |  Jogo: 113 
                      - 
              1 alteração",Corinthians - SP,(3)3 x 2(1),America Fc S.a.f. - MG
"Qua, 05/07/2023 21:30
                - GRUPO 88 |  Jogo: 112",Flamengo - RJ,2 x 1,Athletico Paranaense - PR
"Qua, 12/07/2023 21:30
                    - GRUPO 88 |  Jogo: 116",Athletico Paranaense - PR,0 x 2,Flamengo - RJ
"Ter, 25/07/2023 21:30
                - GRUPO 89 |  Jogo: 117",Corinthians - SP,2 x 1,São Paulo - SP
"Qua, 16/08/2023 19:30
                    - GRUPO 89 |  Jogo: 119",São Paulo - SP,2 x 0,Corinthians - SP
"Qua, 26/07/2023 21:30
                - GRUPO 90 |  Jogo: 118",Grêmio - RS,0 x 2,Flamengo - RJ
"Qua, 16/08/2023 21:30
                    - GRUPO 90 |  Jogo: 120",Flamengo - RJ,1 x 0,Grêmio - RS
"Dom, 17/09/2023 16:00
                - GRUPO 91 |  Jogo: 121",Flamengo - RJ,0 x 1,São Paulo - SP
"Dom, 24/09/2023 16:00
                    - GRUPO 91 |  Jogo: 122",São Paulo - SP,1 x 1,Flamengo - RJ
