Data,Mandante,,Visitante,Vitória doMandante,Empate,Vitória doVisitante
06/05/2023,Cruzeiro,2x1,Santos,50.7 %,27.2 %,22.2 %
07/05/2023,Botafogo,2x0,Atlético MG,48.0 %,29.6 %,22.4 %
07/05/2023,São Paulo,2x0,Internacional,46.7 %,26.5 %,26.8 %
07/05/2023,Goiás,0x5,Palmeiras,23.9 %,26.0 %,50.1 %
07/05/2023,Grêmio,3x3,Red Bull Bragantino,63.4 %,22.5 %,14.0 %
07/05/2023,Athletico PR,2x1,Flamengo,38.8 %,24.1 %,37.2 %
07/05/2023,Bahia,3x1,Coritiba,62.5 %,23.4 %,14.0 %
07/05/2023,América MG,1x2,Cuiabá,57.1 %,22.8 %,20.1 %
08/05/2023,Corinthians,1x1,Fortaleza,33.4 %,25.2 %,41.4 %
10/05/2023,Flamengo,2x0,Goiás,67.0 %,19.4 %,13.5 %
10/05/2023,Palmeiras,4x1,Grêmio,63.9 %,21.5 %,14.7 %
10/05/2023,Santos,3x0,Bahia,48.7 %,26.2 %,25.2 %
10/05/2023,Red Bull Bragantino,2x2,América MG,39.3 %,24.4 %,36.3 %
10/05/2023,Cruzeiro,0x2,Fluminense,27.3 %,25.0 %,47.7 %
10/05/2023,Internacional,0x2,Athletico PR,48.7 %,25.8 %,25.5 %
10/05/2023,Cuiabá,0x4,Atlético MG,35.0 %,28.6 %,36.4 %
11/05/2023,Botafogo,3x0,Corinthians,52.7 %,27.7 %,19.6 %
11/05/2023,Coritiba,1x1,Vasco,22.2 %,25.6 %,52.2 %
11/05/2023,Fortaleza,0x0,São Paulo,51.8 %,23.6 %,24.6 %
13/05/2023,Fluminense,2x0,Cuiabá,78.1 %,15.0 %,6.9 %
13/05/2023,Palmeiras,1x1,Red Bull Bragantino,75.8 %,15.7 %,8.5 %
13/05/2023,Atlético MG,2x0,Internacional,50.2 %,27.6 %,22.3 %
13/05/2023,Bahia,2x3,Flamengo,28.2 %,23.4 %,48.5 %
14/05/2023,Vasco,0x1,Santos,49.7 %,26.1 %,24.2 %
14/05/2023,Corinthians,1x1,São Paulo,23.8 %,29.1 %,47.1 %
14/05/2023,Goiás,2x1,Botafogo,23.6 %,27.6 %,48.8 %
14/05/2023,Grêmio,0x0,Fortaleza,36.2 %,24.5 %,39.3 %
14/05/2023,Athletico PR,3x2,Coritiba,66.4 %,22.3 %,11.3 %
14/05/2023,América MG,0x4,Cruzeiro,37.4 %,26.8 %,35.8 %
20/05/2023,Botafogo,1x0,Fluminense,24.6 %,25.4 %,50.1 %
20/05/2023,São Paulo,4x2,Vasco,59.0 %,25.0 %,16.0 %
20/05/2023,Santos,0x0,Palmeiras,24.5 %,25.2 %,50.3 %
20/05/2023,Red Bull Bragantino,2x0,Athletico PR,34.4 %,24.7 %,40.9 %
20/05/2023,Coritiba,1x2,Atlético MG,16.4 %,25.8 %,57.8 %
20/05/2023,Bahia,1x1,Goiás,45.8 %,26.0 %,28.1 %
20/05/2023,América MG,2x1,Fortaleza,30.8 %,23.7 %,45.5 %
21/05/2023,Flamengo,1x0,Corinthians,59.5 %,22.3 %,18.2 %
21/05/2023,Grêmio,3x1,Internacional,37.4 %,28.2 %,34.3 %
22/05/2023,Cruzeiro,0x1,Cuiabá,60.6 %,23.0 %,16.5 %
27/05/2023,Flamengo,1x1,Cruzeiro,58.3 %,22.9 %,18.8 %
27/05/2023,São Paulo,2x1,Goiás,68.8 %,21.0 %,10.1 %
27/05/2023,Fortaleza,2x0,Vasco,60.3 %,21.5 %,18.2 %
27/05/2023,Cuiabá,1x1,Coritiba,61.4 %,22.5 %,16.1 %
27/05/2023,Athletico PR,1x2,Grêmio,48.3 %,24.7 %,27.0 %
28/05/2023,Botafogo,2x0,América MG,57.8 %,23.1 %,19.1 %
28/05/2023,Corinthians,2x0,Fluminense,25.4 %,26.9 %,47.7 %
28/05/2023,Atlético MG,1x1,Palmeiras,31.7 %,27.3 %,41.0 %
28/05/2023,Internacional,2x0,Bahia,56.8 %,24.3 %,18.9 %
28/05/2023,Red Bull Bragantino,2x0,Santos,42.7 %,27.2 %,30.1 %
03/06/2023,Santos,1x1,Internacional,42.3 %,29.3 %,28.4 %
03/06/2023,Cruzeiro,0x1,Atlético MG,27.5 %,29.4 %,43.1 %
03/06/2023,Athletico PR,1x0,Botafogo,40.2 %,26.4 %,33.4 %
03/06/2023,Fortaleza,0x0,Bahia,68.7 %,19.6 %,11.8 %
03/06/2023,América MG,2x0,Corinthians,42.9 %,26.3 %,30.7 %
04/06/2023,Fluminense,2x1,Red Bull Bragantino,66.7 %,19.9 %,13.4 %
04/06/2023,Palmeiras,3x1,Coritiba,87.4 %,10.9 %,1.7 %
04/06/2023,Goiás,0x1,Cuiabá,47.1 %,25.6 %,27.2 %
04/06/2023,Grêmio,2x1,São Paulo,44.1 %,26.5 %,29.4 %
05/06/2023,Vasco,1x4,Flamengo,23.1 %,22.7 %,54.2 %
10/06/2023,Botafogo,2x0,Fortaleza,45.1 %,27.4 %,27.4 %
10/06/2023,Atlético MG,1x1,Red Bull Bragantino,58.2 %,23.9 %,17.9 %
10/06/2023,Coritiba,0x0,Santos,27.3 %,28.1 %,44.6 %
10/06/2023,Bahia,2x2,Cruzeiro,36.1 %,29.4 %,34.5 %
10/06/2023,Corinthians,1x1,Cuiabá,55.9 %,25.8 %,18.3 %
11/06/2023,Flamengo,3x0,Grêmio,54.2 %,22.8 %,23.0 %
11/06/2023,Goiás,2x2,Fluminense,21.0 %,25.0 %,54.0 %
11/06/2023,Internacional,2x1,Vasco,56.0 %,23.2 %,20.8 %
11/06/2023,América MG,2x2,Athletico PR,41.6 %,24.4 %,34.0 %
11/06/2023,São Paulo,0x2,Palmeiras,26.9 %,25.1 %,48.0 %
21/06/2023,Fluminense,1x1,Atlético MG,56.5 %,25.7 %,17.8 %
21/06/2023,São Paulo,2x1,Athletico PR,52.1 %,24.6 %,23.2 %
21/06/2023,Santos,0x2,Corinthians,41.2 %,32.1 %,26.7 %
21/06/2023,Cruzeiro,0x1,Fortaleza,35.7 %,27.9 %,36.4 %
21/06/2023,Bahia,1x0,Palmeiras,19.0 %,23.4 %,57.7 %
22/06/2023,Vasco,0x1,Goiás,51.1 %,23.9 %,24.9 %
