Data,Mandante,,Visitante,Vitória doMandante,Empate,Vitória doVisitante
23/07/2023,Náutico,0x0,Remo,50.2 %,24.8 %,25.0 %
23/07/2023,Altos,0x1,Botafogo PB,28.6 %,27.9 %,43.5 %
23/07/2023,Manaus,0x2,Brusque,14.4 %,29.1 %,56.5 %
24/07/2023,São José RS,2x2,Volta Redonda,39.3 %,22.2 %,38.6 %
24/07/2023,Floresta,1x1,Figueirense,36.7 %,37.3 %,26.0 %
29/07/2023,São José RS,2x0,Confiança,56.6 %,22.8 %,20.5 %
29/07/2023,Volta Redonda,2x0,Altos,79.8 %,13.9 %,6.2 %
29/07/2023,Remo,2x1,Ypiranga RS,40.8 %,25.5 %,33.8 %
29/07/2023,Operário PR,1x1,Náutico,51.4 %,26.9 %,21.6 %
30/07/2023,América RN,1x1,Paysandu,52.8 %,29.4 %,17.8 %
30/07/2023,Figueirense,0x1,Amazonas,42.2 %,29.3 %,28.6 %
30/07/2023,CSA,2x1,Pouso Alegre,63.5 %,30.7 %,5.8 %
30/07/2023,Botafogo PB,2x0,Manaus,66.8 %,22.8 %,10.4 %
31/07/2023,Aparecidense,0x0,Floresta,43.9 %,34.5 %,21.6 %
31/07/2023,Brusque,0x0,São Bernardo,50.2 %,31.8 %,18.1 %
05/08/2023,Ypiranga RS,2x0,Brusque,39.6 %,27.5 %,33.0 %
05/08/2023,Pouso Alegre,0x1,Manaus,55.3 %,29.0 %,15.7 %
05/08/2023,Amazonas,0x0,Aparecidense,59.6 %,26.1 %,14.2 %
05/08/2023,Remo,2x1,Volta Redonda,34.2 %,23.5 %,42.2 %
06/08/2023,Altos,1x1,Paysandu,32.1 %,29.4 %,38.5 %
06/08/2023,Operário PR,1x0,São Bernardo,39.9 %,33.3 %,26.8 %
06/08/2023,Náutico,0x0,CSA,46.0 %,29.0 %,25.0 %
06/08/2023,Figueirense,3x0,América RN,45.9 %,34.0 %,20.2 %
07/08/2023,Confiança,3x1,Floresta,44.1 %,32.5 %,23.3 %
07/08/2023,Botafogo PB,1x1,São José RS,41.9 %,25.7 %,32.5 %
12/08/2023,Volta Redonda,1x1,Operário PR,56.1 %,22.7 %,21.2 %
12/08/2023,Aparecidense,1x0,Confiança,45.8 %,28.7 %,25.5 %
12/08/2023,Brusque,3x0,Altos,81.7 %,18.2 %,0.0 %
12/08/2023,São Bernardo,2x1,Amazonas,50.8 %,30.3 %,18.8 %
13/08/2023,São José RS,3x3,Figueirense,53.0 %,26.2 %,20.7 %
13/08/2023,Paysandu,4x2,Náutico,37.1 %,27.4 %,35.6 %
13/08/2023,América RN,2x0,Pouso Alegre,58.7 %,30.3 %,11.1 %
13/08/2023,CSA,1x1,Botafogo PB,47.4 %,31.1 %,21.5 %
13/08/2023,Manaus,1x1,Remo,26.7 %,29.3 %,44.1 %
14/08/2023,Floresta,2x0,Ypiranga RS,32.1 %,28.5 %,39.4 %
